Handle,ColdBent
1C22,22.752
1C2A,59.7274
1C30,50.3883
1C36,40.1667
1C3C,29.2272
1C42,17.7552
1C48,5.9551
1C4E,5.9544
1C54,17.7569
1C5A,29.2336
1C60,40.1583
1C66,50.3885
1C6C,59.732
1C72,22.7473
1C7A,25.6146
1C80,55.5074
1C86,45.7771
1C8C,35.1596
1C92,23.8432
1C98,12.0448
1C9E,0.0004
1CA4,12.0448
1CAA,23.8604
1CB0,35.1471
1CB6,45.777
1CBC,55.5045
1CC2,25.6173
1CC8,27.0004
1CCE,46.4195
1CD4,37.161
1CDA,27.1264
1CE0,16.5139
1CE6,5.5451
1CEC,5.5444
1CF2,16.513
1CF8,27.1292
1CFE,37.1597
1D04,46.419
1D0A,27.0011
1D10,8.0321
1D16,49.4391
1D1C,40.9592
1D22,31.5689
1D28,21.461
1D2E,10.8573
1D34,0.0004
1D3A,10.8574
1D40,21.4614
1D46,31.5731
1D4C,40.9585
1D52,49.4391
1D58,8.0323
1D5E,5.2175
1D64,0.1352
1D6A,0.1016
1D70,0.0695
1D76,0.0346
1D7C,0.0001
1D82,0.0347
1D88,0.0691
1D8E,0.1032
1D94,0.1369
1D9A,5.2156
1DA1,13.431
1DA7,43.3888
1DAD,34.8899
1DB3,25.552
1DB9,15.5892
1DBF,5.2399
1DC5,5.2393
1DCB,15.592
1DD1,25.5463
1DD7,34.8915
1DDD,43.3919
1DE3,13.4279
1DE9,6.1209
1DEF,0.0379
1DF5,0.0284
1DFB,0.0176
1E01,0.0054
1E07,0.0058
1E0D,0.0173
1E13,0.0288
1E19,0.0402
1E1F,6.1186
1E75,18.1412
1E7B,38.5079
1E81,29.7958
1E87,20.3118
1E8D,10.2929
1E93,0.0003
1E99,10.2926
1E9F,20.3106
1EA5,29.7979
1EAB,38.5085
1EB1,18.1403
1EB7,2.1051
1EBD,0.0323
1EC3,0.0247
1EC9,0.015
1ECF,0.0078
1ED5,0.0001
1EDB,0.0079
1EE1,0.0155
1EE7,0.0231
1EED,0.0307
1EF3,2.102
1EF9,20.4121
1EFF,30.8995
1F05,22.6959
1F0B,13.8732
1F11,4.6677
1F17,4.6669
1F1D,13.8764
1F23,22.6968
1F29,30.8993
1F2F,20.4123
1F35,3.1786
1F3B,0.0571
1F41,0.0396
1F47,0.0231
1F4D,0.008
1F53,0.0081
1F59,0.0239
1F5F,0.0397
1F65,0.0552
1F6B,3.1765
1F71,6.7247
1F77,20.4528
1F7D,15.8286
1F83,10.7904
1F89,5.4678
1F8F,0.0004
1F95,5.4679
1F9B,10.7921
1FA1,15.8273
1FA7,20.4535
1FAD,6.7241
1FB3,2.7974
1FB9,0.02
1FBF,0.0114
1FC5,0.0059
1FCB,0.0002
1FD1,0.0064
1FD7,0.0126
1FDD,0.0188
1FE3,2.7971
1FE9,5.5454
1FEF,11.132
1FF5,8.1769
1FFB,4.9979
2001,1.6814
2007,1.6807
200D,5.0016
2013,8.1737
2019,11.1305
201F,5.5459
2025,3.7405
202B,15.3965
2031,11.9271
2037,8.137
203D,4.125
2043,0.0004
2049,4.1255
204F,8.1378
2055,11.9264
205B,15.3945
2061,3.7423
2067,9.1268
206D,16.0724
2073,11.799
2079,7.2091
207F,2.425
2085,2.4244
208B,7.2224
2091,11.7872
2097,16.0718
209D,9.1267
20A3,1.1367
20A9,0.0062
20AF,0.003
20B5,0.0009
20BB,0.0002
20C1,0.0007
20C7,0.002
20CD,0.0034
20D3,0.0046
20D9,1.1367
20DF,1.7587
20E5,0.0019
20EB,0.0031
20F1,0.0016
20F7,0.0004
20FD,0.001
2103,0.0019
2109,0.0028
210F,1.7598
2115,0.5677
211B,0.0034
2121,0.004
2127,0.0033
212D,0.0012
2133,0.0008
2139,0.0022
213F,0.0037
2145,0.0049
214B,0.5683
2151,1.8007
2157,9.414
215D,7.2957
2163,4.9781
2169,2.5239
216F,0.0003
2175,2.5243
217B,4.9796
2181,7.2942
2187,9.4136
218D,1.801
2193,0.9378
2199,0.0032
219F,0.0041
21A5,0.002
21AB,0.0003
21B1,0.0015
21B7,0.003
21BD,0.0044
21C3,0.9388
21C9,2.548
21CF,5.5044
21D5,4.0426
21DB,2.4706
21E1,0.8311
21E7,0.8305
21ED,2.467
21F3,4.0469
21F9,5.5031
21FF,2.5485
2205,0.2223
220B,0.0076
2211,0.0068
2217,0.005
221D,0.0016
2223,0.0015
2229,0.0041
222F,0.0067
2235,0.0094
223B,0.2221
2241,0.4964
2247,2.8545
224D,2.212
2253,1.5087
2259,0.7647
225F,0.0003
2265,0.7651
226B,1.5103
2271,2.2104
2277,2.8542
227D,0.4966
2283,0.2755
2289,0.0098
228F,0.0086
2295,0.0041
229B,0.0001
22A1,0.0038
22A7,0.0075
22AD,0.0112
22B3,0.2758
22B9,0.2084
22BF,0.4508
22C5,0.331
22CB,0.2021
22D1,0.068
22D7,0.0685
22DD,0.2052
22E3,0.3265
22E9,0.4521
22EF,0.2079
22F5,0.0136
22FB,0.0049
2301,0.0051
2307,0.0039
230D,0.0012
2313,0.001
2319,0.0031
231F,0.005
2325,0.0068
232B,0.0144
2333,0.7273
2339,3.8476
233F,2.976
2345,2.0277
234B,1.027
2351,0.0004
